gamehash,name,discrim,team,agent,ACS,ECON,K,D,A,ADR,HSP,FK,FD,MK
c0f5bae3-1d55-41d7-acd8-c84e397ffe30,shadowdragon,7314,A,Chamber,397,94,26,9,7,242.3,23,2,1,3
c0f5bae3-1d55-41d7-acd8-c84e397ffe30,kitten,meow1,A,Reyna,257,98,16,14,5,185.9,22,4,3,3
c0f5bae3-1d55-41d7-acd8-c84e397ffe30,swahn,1679,A,Viper,242,64,14,10,8,180.2,19,1,1,2
c0f5bae3-1d55-41d7-acd8-c84e397ffe30,ecco2k,3774,A,Phoenix,194,56,12,15,1,139.1,29,3,3,1
c0f5bae3-1d55-41d7-acd8-c84e397ffe30,herencies,0081,A,Sage,132,27,9,9,9,67.3,6,0,0,1
c0f5bae3-1d55-41d7-acd8-c84e397ffe30,bam bam,dog,B,Sage,329,85,20,13,7,217.5,25,3,2,1
c0f5bae3-1d55-41d7-acd8-c84e397ffe30,synesthesiac,1881,B,KAY/O,236,66,13,15,6,146.9,16,3,0,2
c0f5bae3-1d55-41d7-acd8-c84e397ffe30,puppiesz,extra,B,Viper,209,52,12,15,2,139.7,34,2,1,2
c0f5bae3-1d55-41d7-acd8-c84e397ffe30,findingzimo,NA1,B,Raze,116,30,7,15,1,84.9,9,0,2,1
c0f5bae3-1d55-41d7-acd8-c84e397ffe30,mommymilker,keeb,B,Reyna,86,20,5,19,3,59.0,32,0,5,0
